,yield,yield_unit,brand,crop,state,county,latitude,longitude,plantdate,harvestdate,test_avg_yield,test_avg_yield_unit,irrigated_status,soil_class,country,Location
1936,258.7,bu/ac,BECKS,corn,IL,Macon,39.9484,-88.9739,4/26/14,10/17/14,253.5,bu/ac,False,SILTY CLAY LOAM,US,"Macon,IL,US"
1937,243.8,bu/ac,AUGUSTA,corn,MO,Nodaway,40.199,-95.05463,5/19/13,10/27/13,239.6,bu/ac,False,SILTY CLAY LOAM,US,"Nodaway,MO,US"
1938,127.9,bu/ac,AUGUSTA,corn,IN,Bartholomew,39.21041,-85.74065,5/15/12,10/27/12,122.0,bu/ac,False,CLAY LOAM,US,"Bartholomew,IN,US"
1939,240.1,bu/ac,AGRIGOLD,corn,IL,LaSalle,41.24027,-88.87511,5/5/14,10/10/14,224.3,bu/ac,False,SILTY CLAY LOAM,US,"LaSalle,IL,US"
1940,198.2,bu/ac,CHANNEL,corn,IA,Butler,42.82152,-92.72641,5/9/14,10/31/14,204.0,bu/ac,False,LOAM,US,"Butler,IA,US"
1941,293.2,bu/ac,CHANNEL,corn,IN,Decatur,39.324862,-85.625611,5/18/13,10/13/13,289.8,bu/ac,False,CLAY LOAM,US,"Decatur,IN,US"
1942,210.7,bu/ac,BECKS,corn,MO,Schuyler,40.37264,-92.64398,5/6/14,10/29/14,191.0,bu/ac,False,LOAM,US,"Schuyler,MO,US"
1943,190.6,bu/ac,BECKS,corn,MO,Schuyler,40.37264,-92.64398,5/6/14,10/29/14,191.0,bu/ac,False,LOAM,US,"Schuyler,MO,US"
1944,192.6,bu/ac,AGRIGOLD,corn,PA,Adams,39.8174,-77.02023,5/27/14,11/4/14,197.5,bu/ac,False,SILTY CLAY LOAM,US,"Adams,PA,US"
1945,200.7,bu/ac,AGRIGOLD,corn,PA,Adams,39.8174,-77.02023,5/27/14,11/4/14,197.5,bu/ac,False,SILTY CLAY LOAM,US,"Adams,PA,US"
1947,224.0,bu/ac,CHANNEL,corn,MO,Clark,40.582047,-91.783149,5/5/14,10/8/14,240.0,bu/ac,False,SILT LOAM,US,"Clark,MO,US"
1948,240.7,bu/ac,AUGUSTA,corn,MO,Clark,40.582047,-91.783149,5/5/14,10/8/14,240.0,bu/ac,False,SILT LOAM,US,"Clark,MO,US"
1949,269.0,bu/ac,CHEMGRO,corn,PA,Berks,40.51278,-75.73138,5/8/14,10/23/14,262.3,bu/ac,False,SILTY CLAY LOAM,US,"Berks,PA,US"
1950,105.0,bu/ac,CHANNEL,corn,IN,LaPorte,41.33108,-86.81599,4/17/12,9/23/12,104.9,bu/ac,False,SANDY LOAM,US,"LaPorte,IN,US"
1951,217.7,bu/ac,SEED CONSULTANTS,corn,IN,LaPorte,41.32958,-86.81796,5/8/14,10/11/14,209.5,bu/ac,False,SANDY LOAM,US,"LaPorte,IN,US"
1952,224.7,bu/ac,CHANNEL,corn,MN,Blue Earth,44.20589,-94.30664,5/13/13,10/27/13,225.6,bu/ac,False,CLAY LOAM,US,"Blue Earth,MN,US"
1953,181.9,bu/ac,CHAMPION,corn,WI,Grant,42.77804,-90.66307,5/9/14,10/28/14,179.7,bu/ac,False,SILT LOAM,US,"Grant,WI,US"
1954,237.5,bu/ac,ANDERSON,corn,MN,Meeker,45.087401,-94.633755,4/30/12,9/24/12,216.8,bu/ac,False,SILTY CLAY LOAM,US,"Meeker,MN,US"
1955,184.8,bu/ac,AGRIGOLD,corn,IA,Kossuth,42.98845,-94.20033,5/24/13,11/1/13,200.9,bu/ac,False,SILTY CLAY LOAM,US,"Kossuth,IA,US"
1956,116.7,bu/ac,AGRIGOLD,corn,MO,Macon,39.727542,-92.678255,5/18/13,10/16/13,134.6,bu/ac,False,LOAM,US,"Macon,MO,US"
1957,91.8,bu/ac,BECKS,corn,MO,Macon,39.72729,-92.674859,4/23/14,10/29/14,126.1,bu/ac,False,LOAM,US,"Macon,MO,US"
1960,199.0,bu/ac,CHANNEL,corn,MI,Calhoun,42.31659,-84.85152,5/11/13,10/27/13,206.6,bu/ac,False,SANDY CLAY,US,"Calhoun,MI,US"
1961,195.7,bu/ac,AUGUSTA,corn,PA,Blair,40.30421,-78.35589,4/30/12,10/15/12,201.9,bu/ac,False,SILT LOAM,US,"Blair,PA,US"
1962,183.4,bu/ac,CHANNEL,corn,MI,Ingham,42.50785,-84.46468,5/14/13,11/11/13,182.4,bu/ac,False,CLAY LOAM,US,"Ingham,MI,US"
1963,220.8,bu/ac,AGRIGOLD,corn,IL,Livingston,41.07099,-88.43777,5/8/13,10/26/13,220.3,bu/ac,False,SILTY CLAY LOAM,US,"Livingston,IL,US"
1964,199.9,bu/ac,ARMOR,corn,VA,Hanover,37.68079,-77.17295,4/24/14,9/27/14,179.7,bu/ac,False,SANDY LOAM,US,"Hanover,VA,US"
1965,251.6,bu/ac,AGRIGOLD,corn,DE,New Castle,39.45681,-75.76141,5/6/14,10/6/14,260.7,bu/ac,False,LOAMY SAND,US,"New Castle,DE,US"
1966,182.6,bu/ac,CHANNEL,corn,MN,Waseca,43.95357,-93.58393,5/5/14,10/23/14,181.8,bu/ac,False,CLAY LOAM,US,"Waseca,MN,US"
1969,247.3,bu/ac,CHEMGRO,corn,PA,Northumberland,40.95419,-76.8532,5/1/13,10/29/13,243.7,bu/ac,False,SILT LOAM,US,"Northumberland,PA,US"
1970,180.0,bu/ac,AGRIGOLD,corn,IA,Mitchell,43.22727,-92.93042,5/16/13,10/30/13,174.6,bu/ac,False,SILT LOAM,US,"Mitchell,IA,US"
1971,192.7,bu/ac,AUGUSTA,corn,IA,Mahaska,41.259125,-92.673696,5/17/13,10/9/13,194.1,bu/ac,False,SILT LOAM,US,"Mahaska,IA,US"
1973,232.5,bu/ac,AGRIGOLD,corn,MO,Marion,39.86662,-91.52787,5/18/13,10/15/13,246.3,bu/ac,False,SILT LOAM,US,"Marion,MO,US"
1974,244.2,bu/ac,CHANNEL,corn,MO,Marion,39.865396,-91.528429,4/22/14,10/9/14,229.7,bu/ac,False,SILT LOAM,US,"Marion,MO,US"
1975,223.0,bu/ac,AGRIGOLD,corn,IA,Linn,42.040132,-91.786374,5/18/14,11/10/14,215.7,bu/ac,False,SANDY CLAY LOAM,US,"Linn,IA,US"
1977,188.9,bu/ac,AGRIGOLD,corn,NE,Dodge,41.641554,-96.688539,5/7/14,10/24/14,183.0,bu/ac,False,SILT LOAM,US,"Dodge,NE,US"
1978,154.9,bu/ac,AGRIGOLD,corn,KS,Nemaha,39.91419,-96.10773,5/5/14,10/7/14,148.8,bu/ac,False,SILTY CLAY LOAM,US,"Nemaha,KS,US"
1979,207.0,bu/ac,CHAMPION,corn,IA,Sioux,42.4963416,-96.40494079999999,5/18/13,11/2/13,204.1,bu/ac,False,SILTY CLAY LOAM,US,"Sioux,IA,US"
1980,206.1,bu/ac,AGRIGOLD,corn,IA,Sioux,42.4963416,-96.40494079999999,5/18/13,11/2/13,204.1,bu/ac,False,SILTY CLAY LOAM,US,"Sioux,IA,US"
1981,136.0,bu/ac,CHANNEL,corn,WI,Trempealeau,43.93483,-90.48061,5/17/14,10/25/14,133.3,bu/ac,False,SILT LOAM,US,"Trempealeau,WI,US"
1982,225.2,bu/ac,BUCKEYE,corn,OH,Seneca,41.20667,-83.13767,5/27/14,11/15/14,222.6,bu/ac,False,LOAMY SAND,US,"Seneca,OH,US"
1983,209.7,bu/ac,CHANNEL,corn,MN,Redwood,44.34067,-95.55167,5/6/14,10/17/14,203.8,bu/ac,False,SILTY CLAY LOAM,US,"Redwood,MN,US"
1984,219.9,bu/ac,BECKS,corn,OH,Van Wert,40.8694927,-84.58412229999999,5/24/14,11/16/14,224.0,bu/ac,False,SANDY CLAY LOAM,US,"Van Wert,OH,US"
1985,241.1,bu/ac,CHANNEL,corn,IA,Washington,41.30899,-91.648258,5/7/14,11/1/14,239.3,bu/ac,False,SILTY CLAY LOAM,US,"Washington,IA,US"
1986,255.5,bu/ac,CHAMPION,corn,IA,Washington,41.30899,-91.648258,5/7/14,11/1/14,239.3,bu/ac,False,SILTY CLAY LOAM,US,"Washington,IA,US"
1987,211.3,bu/ac,AGRIGOLD,corn,IA,Black Hawk,42.48611,-92.1634,5/14/13,10/26/13,221.3,bu/ac,False,SILTY CLAY LOAM,US,"Black Hawk,IA,US"
1988,214.4,bu/ac,CURRY,corn,IA,Black Hawk,42.48611,-92.1634,5/14/13,10/26/13,221.3,bu/ac,False,SILTY CLAY LOAM,US,"Black Hawk,IA,US"
1989,203.0,bu/ac,AUGUSTA,corn,MD,Baltimore,39.58974,-76.79847,5/25/13,11/15/13,199.4,bu/ac,False,SILTY CLAY LOAM,US,"Baltimore,MD,US"
1990,220.1,bu/ac,AGRIGOLD,corn,IA,Madison,41.252521,-94.084518,5/10/14,10/30/14,203.7,bu/ac,False,SILTY CLAY LOAM,US,"Madison,IA,US"
1991,206.9,bu/ac,AGRIGOLD,corn,IN,White,40.76399,-87.00143,5/9/13,10/4/13,197.2,bu/ac,False,SILT LOAM,US,"White,IN,US"
1992,222.0,bu/ac,CHAMPION,corn,IA,Guthrie,41.77194,-94.29103,5/9/14,11/8/14,218.3,bu/ac,False,SILTY CLAY LOAM,US,"Guthrie,IA,US"
1994,152.7,bu/ac,CHAMPION,corn,IA,Hancock,43.04549834,-94.31656616,5/10/12,9/25/12,160.0542857,bu/ac,False,CLAY LOAM,US,"Hancock,IA,US"
1995,183.4,bu/ac,CHAMPION,corn,IA,Washington,41.21613819,-91.60865428,4/24/12,9/27/12,174.51875,bu/ac,False,SILTY CLAY LOAM,US,"Washington,IA,US"
1996,230.4,bu/ac,CHAMPION,corn,IA,Sioux,43.14412557,-95.74659097,5/13/13,10/19/13,220.3138462,bu/ac,False,SILTY CLAY LOAM,US,"Sioux,IA,US"
1997,196.6,bu/ac,CHAMPION,corn,IA,Chickasaw,42.96995408,-92.44502714,5/18/14,10/31/14,185.4426667,bu/ac,False,LOAM,US,"Chickasaw,IA,US"
1998,195.9,bu/ac,CHAMPION,corn,IA,Fayette,42.74688868,-91.89586235,5/21/14,10/30/14,189.9888889,bu/ac,False,LOAM,US,"Fayette,IA,US"
1999,201.6,bu/ac,BECKS,corn,IA,Carroll,42.08377798,-94.89706782,5/16/14,10/27/14,210.2011765,bu/ac,False,LOAM,US,"Carroll,IA,US"
2000,257.2707,bu/ac,CHANNEL,corn,IL,Woodford,40.76895289,-89.20458608,5/8/13,10/15/13,259.03147,bu/ac,False,SILT LOAM,US,"Woodford,IL,US"
2001,267.4093,bu/ac,BURRUS,corn,IL,Whiteside,41.71073532,-90.05076708,5/8/13,9/29/13,265.1338009,bu/ac,False,SILTY CLAY LOAM,US,"Whiteside,IL,US"
2002,226.38,bu/ac,AGRIGOLD,corn,IL,Ogle,42.10768239,-89.43415328,5/8/14,10/30/14,228.2646273,bu/ac,False,SILT LOAM,US,"Ogle,IL,US"
2003,247.0913,bu/ac,BECKS,corn,IL,Fayette,38.89234929,-88.78304253,5/20/13,10/16/13,234.5680371,bu/ac,False,SILT LOAM,US,"Fayette,IL,US"
2005,228.5614,bu/ac,CATALYST,corn,IL,St. Clair,38.52835224,-89.94835907,4/25/13,10/16/13,215.5367257,bu/ac,False,SILT LOAM,US,"St. Clair,IL,US"
2006,240.9576,bu/ac,CHANNEL,corn,IL,Warren,40.90848767,-90.63551373,4/23/14,10/10/14,243.9925,bu/ac,False,SILTY CLAY LOAM,US,"Warren,IL,US"
2007,149.6836822,bu/ac,AGRIGOLD,corn,KS,Riley,39.18360138,-96.5714,4/23/14,9/18/14,170.1721685,bu/ac,True,SANDY LOAM,US,"Riley,KS,US"
2008,259.4,bu/ac,AUGUSTA,corn,PA,Northumberland,40.95419,-76.8532,5/1/13,10/29/13,243.7,bu/ac,False,SILT LOAM,US,"Northumberland,PA,US"
2009,237.0,bu/ac,ARMOR,corn,IN,Whitley,41.114556,-85.47809489,5/23/14,11/10/14,229.44,bu/ac,False,SANDY LOAM,US,"Whitley,IN,US"
2010,203.0,bu/ac,CHANNEL,corn,IN,Kosciusko,41.2315233,-85.8859987,5/27/14,11/12/14,209.52,bu/ac,False,LOAM,US,"Kosciusko,IN,US"
2011,212.0,bu/ac,AGRIGOLD,corn,IN,Tippecanoe,40.471817,-86.90575821,5/20/13,10/22/13,235.4230769,bu/ac,False,SILTY CLAY LOAM,US,"Tippecanoe,IN,US"
2013,210.0,bu/ac,AGRIGOLD,corn,IN,Tipton,40.29241517,-86.05069795,5/28/14,11/3/14,216.28125,bu/ac,False,SILTY CLAY,US,"Tipton,IN,US"
2014,246.0,bu/ac,BECKS,corn,IN,Rush,39.58344972,-85.44653091,5/8/13,11/9/13,238.5,bu/ac,False,SILT LOAM,US,"Rush,IN,US"
2015,270.3,bu/ac,AGRIGOLD,corn,OH,Licking,39.95905392,-82.49013883,5/9/13,10/26/13,278.8013333,bu/ac,False,SILTY CLAY LOAM,US,"Licking,OH,US"
2016,220.5,bu/ac,CHAMPION,corn,IA,Fayette,42.74688868,-91.89586235,5/18/13,10/28/13,204.1836066,bu/ac,False,LOAM,US,"Fayette,IA,US"
2017,272.0,bu/ac,AGRIGOLD,corn,OH,Licking,39.95905392,-82.49013883,5/9/13,10/26/13,278.8013333,bu/ac,False,SILTY CLAY LOAM,US,"Licking,OH,US"
2018,197.4,bu/ac,AUGUSTA,corn,MO,Schuyler,40.37264,-92.64398,5/6/14,10/29/14,191.0,bu/ac,False,LOAM,US,"Schuyler,MO,US"
2019,214.0,bu/ac,BECKS,corn,IN,Tippecanoe,40.471817,-86.90575821,5/5/14,10/21/14,223.375,bu/ac,False,SILTY CLAY LOAM,US,"Tippecanoe,IN,US"
2020,233.2,bu/ac,AUGUSTA,corn,IN,Decatur,39.32229,-85.631667,5/28/14,10/24/14,220.1,bu/ac,False,CLAY LOAM,US,"Decatur,IN,US"
2021,296.8,bu/ac,RENK,corn,IA,Jackson,42.035988,-90.261597,5/14/13,10/26/13,285.8,bu/ac,False,CLAY LOAM,US,"Jackson,IA,US"
2022,202.0,bu/ac,BECKS,corn,IN,Jennings,38.97530205,-85.65483297,5/28/13,10/21/13,184.8666667,bu/ac,False,SILT LOAM,US,"Jennings,IN,US"
2023,204.0017042,bu/ac,AGRIGOLD,corn,KS,Stafford,38.001,-98.7607,5/13/13,10/1/13,195.2418918,bu/ac,True,SANDY LOAM,US,"Stafford,KS,US"
2024,226.1,bu/ac,CHAMPION,corn,IA,Sioux,43.14412557,-95.74659097,5/13/13,10/19/13,220.3138462,bu/ac,False,SILTY CLAY LOAM,US,"Sioux,IA,US"
2025,226.6,bu/ac,CHANNEL,corn,OH,Wood,41.22707231,-83.73013807,5/6/13,10/24/13,226.4368421,bu/ac,False,CLAY,US,"Wood,OH,US"
2027,231.3,bu/ac,CHAMPION,corn,IA,Harrison,41.60463153,-95.91915364,5/13/13,10/17/13,230.5716216,bu/ac,False,SILT LOAM,US,"Harrison,IA,US"
2028,235.7,bu/ac,CHAMPION,corn,IA,Fayette,42.74688868,-91.89586235,5/18/13,10/28/13,204.1836066,bu/ac,False,LOAM,US,"Fayette,IA,US"
2029,213.0,bu/ac,SEED CONSULTANTS,corn,IN,Tipton,40.29241517,-86.05069795,5/28/14,11/3/14,216.28125,bu/ac,False,SILTY CLAY,US,"Tipton,IN,US"
2030,65.780541,bu/ac,AGRIGOLD,corn,KS,Labette,37.339,-95.2679,,,96.13808985,bu/ac,False,,US,"Labette,KS,US"
2031,150.4,bu/ac,RENK,corn,NE,Otoe,40.54608,-96.27349,5/14/13,10/10/13,152.7,bu/ac,False,SILTY CLAY,US,"Otoe,NE,US"
2032,148.3152642,bu/ac,B-H GENETICS,corn,KS,Reno,38.0655,-97.9142,5/13/13,10/11/13,151.5311849,bu/ac,True,SILT LOAM,US,"Reno,KS,US"
2033,216.0,bu/ac,CHANNEL,corn,IN,Jennings,38.97530205,-85.65483297,5/28/14,11/7/14,216.6875,bu/ac,False,SILT LOAM,US,"Jennings,IN,US"
2034,206.8,bu/ac,BECKS,corn,OH,Darke,40.08858551,-84.64943913,5/15/13,10/28/13,212.9333333,bu/ac,False,SILT LOAM,US,"Darke,OH,US"
2035,254.0,bu/ac,AGRIGOLD,corn,IN,Rush,39.58344972,-85.44653091,5/8/13,11/9/13,238.5,bu/ac,False,SILT LOAM,US,"Rush,IN,US"
2036,247.5,bu/ac,AUGUSTA,corn,IN,Warrick,38.15535,-87.20185,5/26/13,10/25/13,264.6,bu/ac,False,SILTY CLAY LOAM,US,"Warrick,IN,US"
2037,261.3012741,bu/ac,B-H GENETICS,corn,KS,Thomas,39.3877,-101.0459,5/1/14,10/28/14,282.7956069,bu/ac,True,SILT LOAM,US,"Thomas,KS,US"
2039,244.0,bu/ac,AGRIGOLD,corn,IN,Rush,39.58344972,-85.44653091,5/21/14,11/8/14,256.59375,bu/ac,False,SILT LOAM,US,"Rush,IN,US"
2040,68.0,bu/ac,AGRIGOLD,corn,IN,Warrick,38.04532433,-87.42322546,,9/21/12,78.37209302,bu/ac,False,SILT LOAM,US,"Warrick,IN,US"
2041,230.0,bu/ac,AGRIGOLD,corn,IN,Whitley,41.114556,-85.47809489,5/23/14,11/10/14,229.44,bu/ac,False,SANDY LOAM,US,"Whitley,IN,US"
2042,193.2,bu/ac,AUGUSTA,corn,PA,Centre,40.84045,-77.64698,5/16/13,10/28/13,215.9,bu/ac,False,SILT LOAM,US,"Centre,PA,US"
2043,205.0,bu/ac,AGRIGOLD,corn,IN,Tipton,40.29241517,-86.05069795,5/28/14,11/3/14,216.28125,bu/ac,False,SILTY CLAY,US,"Tipton,IN,US"
2044,195.9,bu/ac,CHEMGRO,corn,OH,Crawford,40.8048774,-82.78210569,5/15/12,11/6/12,210.3928571,bu/ac,False,SILT LOAM,US,"Crawford,OH,US"
2045,256.6,bu/ac,CHANNEL,corn,IL,St. Clair,38.523209,-89.8681,5/10/14,11/10/14,243.7,bu/ac,False,SILT LOAM,US,"St. Clair,IL,US"
2046,154.3,bu/ac,CHANNEL,corn,MI,Gratiot,43.3333,-84.4886,5/30/14,11/21/14,143.4,bu/ac,False,LOAM,US,"Gratiot,MI,US"
2047,240.8,bu/ac,CHEMGRO,corn,DE,Sussex,38.70151,-75.68191,5/3/13,10/3/13,241.9,bu/ac,True,LOAMY SAND,US,"Sussex,DE,US"
2048,235.9,bu/ac,CHEMGRO,corn,DE,Sussex,38.70739,-75.62073,5/9/14,10/7/14,236.0,bu/ac,True,SANDY LOAM,US,"Sussex,DE,US"
2049,186.6,bu/ac,CHAMPION,corn,IA,Hancock,43.05289,-93.9301,5/7/14,10/17/14,174.4,bu/ac,False,CLAY LOAM,US,"Hancock,IA,US"
2050,79.0,bu/ac,CHANNEL,corn,NE,Otoe,40.53043,-96.29275,4/24/12,8/23/12,69.0,bu/ac,False,SILTY CLAY,US,"Otoe,NE,US"
2051,234.1,bu/ac,BUCKEYE,corn,OH,Marion,40.63736,-83.01202,5/20/13,11/9/13,200.2,bu/ac,False,LOAM,US,"Marion,OH,US"
2052,237.8,bu/ac,CHANNEL,corn,IN,Sullivan,38.9482,-87.4498,5/22/14,10/26/14,226.3,bu/ac,False,SANDY CLAY LOAM,US,"Sullivan,IN,US"
2053,222.6,bu/ac,AUGUSTA,corn,IN,Sullivan,38.9482,-87.4498,5/22/14,10/26/14,226.3,bu/ac,False,SANDY CLAY LOAM,US,"Sullivan,IN,US"
2054,188.8,bu/ac,CHAMPION,corn,IA,Delaware,42.36139,-91.48556,5/20/13,11/15/13,166.0,bu/ac,False,,US,"Delaware,IA,US"
2055,187.9,bu/ac,CHEMGRO,corn,PA,Centre,40.84017,-77.64667,5/5/14,11/5/14,209.8,bu/ac,False,SILT LOAM,US,"Centre,PA,US"
2056,204.8,bu/ac,AGRIGOLD,corn,MI,Eaton,42.4798,-84.8186,5/14/13,11/10/13,197.7,bu/ac,False,CLAY LOAM,US,"Eaton,MI,US"
2057,164.5,bu/ac,NUSEED,corn,SD,Deuel,44.776906,-96.843989,5/16/14,11/1/14,160.1,bu/ac,False,SILTY CLAY LOAM,US,"Deuel,SD,US"
2058,247.6,bu/ac,BIO GENE,corn,IN,Bartholomew,39.15481,-85.85744,5/18/13,10/26/13,251.3,bu/ac,False,CLAY LOAM,US,"Bartholomew,IN,US"
2059,238.2,bu/ac,AGRIGOLD,corn,NE,Platte,41.523829,-97.308575,5/14/13,10/7/13,238.0,bu/ac,True,SILT LOAM,US,"Platte,NE,US"
2060,224.3,bu/ac,AGRIGOLD,corn,NE,Platte,41.523829,-97.308575,5/14/13,10/7/13,238.0,bu/ac,True,SILT LOAM,US,"Platte,NE,US"
2062,245.2,bu/ac,AGRIGOLD,corn,IA,Harrison,41.755163,-95.674449,5/9/14,11/9/14,236.9,bu/ac,False,SILT LOAM,US,"Harrison,IA,US"
2063,188.4,bu/ac,AGRIGOLD,corn,VA,Essex,37.89512,-76.81412,4/28/14,10/3/14,188.7,bu/ac,False,SANDY LOAM,US,"Essex,VA,US"
2064,184.6,bu/ac,CHANNEL,corn,MN,Faribault,43.73558,-93.92668,5/7/14,10/28/14,186.7,bu/ac,False,CLAY LOAM,US,"Faribault,MN,US"
2065,224.8,bu/ac,AGRIGOLD,corn,IA,Fremont,40.80187,-95.50615,5/12/13,10/25/13,219.1,bu/ac,False,SILT LOAM,US,"Fremont,IA,US"
2066,249.9,bu/ac,AUGUSTA,corn,IA,Fremont,40.80109,-95.51081,5/4/14,10/3/14,254.1,bu/ac,False,SILTY CLAY LOAM,US,"Fremont,IA,US"
2068,242.0,bu/ac,BECKS,corn,IL,Henry,41.60629,-90.0636,5/10/14,11/5/14,213.9,bu/ac,False,SILT LOAM,US,"Henry,IL,US"
2069,217.5,bu/ac,AUGUSTA,corn,IN,Bartholomew,39.18325,-85.76731,5/24/13,10/29/13,217.7,bu/ac,False,CLAY LOAM,US,"Bartholomew,IN,US"
2070,220.6,bu/ac,CHAMPION,corn,IA,Butler,42.821336,-92.725433,5/16/13,10/31/13,217.7,bu/ac,False,SILT LOAM,US,"Butler,IA,US"
2071,129.0,bu/ac,AUGUSTA,corn,IN,Decatur,39.31733,-85.63124,5/7/12,10/8/12,117.7,bu/ac,False,CLAY LOAM,US,"Decatur,IN,US"
2072,197.3,bu/ac,AUGUSTA,corn,MO,Schuyler,40.37264,-92.64398,5/6/14,10/29/14,191.0,bu/ac,False,LOAM,US,"Schuyler,MO,US"
2073,192.9,bu/ac,AUGUSTA,corn,PA,Adams,39.8169,-77.02143,5/13/09,11/5/09,190.1,bu/ac,False,SILTY CLAY LOAM,US,"Adams,PA,US"
2074,211.8,bu/ac,AGRIGOLD,corn,NE,Cedar,42.44556,-97.46702,5/14/13,11/2/13,216.1,bu/ac,False,SILT LOAM,US,"Cedar,NE,US"
2075,201.6,bu/ac,AGRIGOLD,corn,NE,Cedar,42.48219,-97.45589,5/5/14,10/25/14,192.3,bu/ac,False,SILT LOAM,US,"Cedar,NE,US"
2076,196.1,bu/ac,AUGUSTA,corn,VA,Northumberland,37.94038,-76.45738,4/25/14,10/3/14,196.2,bu/ac,False,SANDY LOAM,US,"Northumberland,VA,US"
2077,173.4,bu/ac,CHANNEL,corn,MI,Saginaw,43.1434,-84.3051,5/30/14,11/16/14,174.3,bu/ac,False,LOAMY SAND,US,"Saginaw,MI,US"
2079,186.4,bu/ac,AGRIGOLD,corn,MO,Daviess,39.93804,-93.73971,5/16/14,11/6/14,211.5,bu/ac,False,SANDY CLAY LOAM,US,"Daviess,MO,US"
2080,246.9,bu/ac,AUGUSTA,corn,PA,Berks,40.51272,-75.73138,5/2/13,10/21/13,248.7,bu/ac,False,SILT LOAM,US,"Berks,PA,US"
2081,265.8,bu/ac,AUGUSTA,corn,PA,Berks,40.51278,-75.73138,5/8/14,10/23/14,262.3,bu/ac,False,SILTY CLAY LOAM,US,"Berks,PA,US"
2082,206.0,bu/ac,AGRIGOLD,corn,IN,LaPorte,41.324998,-86.803416,5/7/13,10/9/13,210.5,bu/ac,False,SANDY LOAM,US,"LaPorte,IN,US"
2083,226.0,bu/ac,CHANNEL,corn,NE,Cedar,42.36899,-97.154,5/13/13,10/21/13,219.7,bu/ac,True,SILTY CLAY LOAM,US,"Cedar,NE,US"
2084,247.4,bu/ac,AGRIGOLD,corn,PA,Lebanon,40.28964,-76.35989,5/8/14,10/9/14,232.8,bu/ac,False,SILT LOAM,US,"Lebanon,PA,US"
2085,217.5,bu/ac,ANDERSON,corn,MN,Meeker,45.087401,-94.633755,4/30/12,9/24/12,216.8,bu/ac,False,SILTY CLAY LOAM,US,"Meeker,MN,US"
2086,118.8,bu/ac,CHANNEL,corn,MO,Macon,39.727542,-92.678255,5/18/13,10/16/13,134.6,bu/ac,False,LOAM,US,"Macon,MO,US"
2087,258.0,bu/ac,AGRIGOLD,corn,IL,Carroll,41.95904,-89.78867,5/7/13,10/21/13,257.7,bu/ac,False,SILT LOAM,US,"Carroll,IL,US"
2088,200.7,bu/ac,AGRIGOLD,corn,IA,Webster,42.41296,-94.31549,5/13/13,10/29/13,198.2,bu/ac,False,LOAM,US,"Webster,IA,US"
2089,194.9,bu/ac,ANDERSON,corn,MN,Nicollet,44.40917,-94.18749,4/23/06,10/21/06,192.5,bu/ac,False,CLAY LOAM,US,"Nicollet,MN,US"
2090,179.8,bu/ac,NUSEED,corn,MN,Nicollet,44.397767,-94.168472,5/24/14,10/27/14,163.2,bu/ac,False,CLAY LOAM,US,"Nicollet,MN,US"
2091,210.8,bu/ac,CHANNEL,corn,WI,Dane,42.9099,-89.38884,5/15/13,10/24/13,208.9,bu/ac,False,SILT LOAM,US,"Dane,WI,US"
2092,211.6,bu/ac,AUGUSTA,corn,IA,Mahaska,41.259125,-92.673696,5/17/13,10/9/13,194.1,bu/ac,False,SILT LOAM,US,"Mahaska,IA,US"
2093,231.5,bu/ac,BECKS,corn,IA,Mahaska,41.25959,-92.67429,5/10/14,10/7/14,228.1,bu/ac,False,SILT LOAM,US,"Mahaska,IA,US"
2094,253.1,bu/ac,ARMOR,corn,IN,Benton,40.49217,-87.14869,5/8/14,10/20/14,237.7,bu/ac,False,SILT LOAM,US,"Benton,IN,US"
2095,254.3,bu/ac,AGRIGOLD,corn,MO,Marion,39.86662,-91.52787,5/18/13,10/15/13,246.3,bu/ac,False,SILT LOAM,US,"Marion,MO,US"
2096,196.4,bu/ac,CHAMPION,corn,IA,O'Brien,42.9843,-95.74447,4/30/12,9/15/12,188.4,bu/ac,False,SILTY CLAY LOAM,US,"O'Brien,IA,US"
2097,187.7,bu/ac,CHANNEL,corn,IA,O'Brien,43.03058,-95.66184,5/20/13,11/4/13,198.3,bu/ac,False,SILTY CLAY LOAM,US,"O'Brien,IA,US"
2098,173.2,bu/ac,AGRIGOLD,corn,IL,Ford,40.47322,-88.17151,5/13/13,10/2/13,167.5,bu/ac,False,,US,"Ford,IL,US"
2099,216.5,bu/ac,CHAMPION,corn,IA,Cerro Gordo,43.24135,-93.01846,5/20/14,11/1/14,214.9,bu/ac,False,SILTY CLAY LOAM,US,"Cerro Gordo,IA,US"
2100,195.0,bu/ac,AGRIGOLD,corn,MI,Hillsdale,41.8361,-84.7897,5/25/14,10/29/14,202.2,bu/ac,True,SANDY CLAY,US,"Hillsdale,MI,US"
2101,195.6,bu/ac,ANDERSON,corn,MN,Redwood,44.42648,-95.125957,5/13/13,10/21/13,193.2,bu/ac,False,CLAY LOAM,US,"Redwood,MN,US"
2103,230.8,bu/ac,AGRIGOLD,corn,NE,Seward,40.81469,-97.09081,5/7/14,11/5/14,230.8,bu/ac,True,SILT LOAM,US,"Seward,NE,US"
2104,240.8,bu/ac,CHANNEL,corn,NE,Seward,40.81469,-97.09081,5/7/14,11/5/14,230.8,bu/ac,True,SILT LOAM,US,"Seward,NE,US"
