,yield,yield_unit,brand,crop,state,county,latitude,longitude,plantdate,harvestdate,test_avg_yield,test_avg_yield_unit,irrigated_status,soil_class,country,Location
37,221.8,bu/ac,ARMOR,corn,IN,Decatur,39.32229,-85.631667,5/28/14,10/24/14,220.1,bu/ac,False,CLAY LOAM,US,"Decatur,IN,US"
38,116.3,bu/ac,AUGUSTA,corn,MO,Schuyler,40.41344,-92.68069,5/15/13,10/16/13,120.6,bu/ac,False,SILT LOAM,US,"Schuyler,MO,US"
39,209.8,bu/ac,AUGUSTA,corn,IL,Bond,38.8577,-89.3819,5/9/14,11/3/14,214.6,bu/ac,False,SILT LOAM,US,"Bond,IL,US"
41,46.6,bu/ac,AUGUSTA,corn,PA,Adams,39.81815,-77.01816,5/10/11,10/25/11,33.9,bu/ac,False,SILTY CLAY LOAM,US,"Adams,PA,US"
42,241.1,bu/ac,CHANNEL,corn,MI,Van Buren,42.21331,-86.21134,5/8/13,11/21/13,231.3,bu/ac,False,SANDY CLAY LOAM,US,"Van Buren,MI,US"
43,154.6,bu/ac,AGVENTURE,corn,MN,Clay,46.83295,-96.36228,5/23/14,11/6/14,151.7,bu/ac,False,LOAM,US,"Clay,MN,US"
44,210.2,bu/ac,AGRIGOLD,corn,KS,Brown,39.89193,-95.50574,5/4/14,11/10/14,208.3,bu/ac,False,SILTY CLAY LOAM,US,"Brown,KS,US"
45,249.4,bu/ac,AUGUSTA,corn,MO,Nodaway,40.49659,-94.82188,5/5/14,11/4/14,250.1,bu/ac,False,SILTY CLAY LOAM,US,"Nodaway,MO,US"
46,182.0,bu/ac,CHANNEL,corn,MN,Cottonwood,44.07888,-95.199126,6/2/13,10/19/13,172.8,bu/ac,False,CLAY LOAM,US,"Cottonwood,MN,US"
48,198.4,bu/ac,CHANNEL,corn,MN,Dodge,44.022356,-92.726824,6/3/13,10/28/13,188.6,bu/ac,False,SILT LOAM,US,"Dodge,MN,US"
49,220.2,bu/ac,ANDERSON,corn,MN,Dodge,44.02194,-92.72694,5/18/14,11/2/14,213.0,bu/ac,False,SILT LOAM,US,"Dodge,MN,US"
50,276.3,bu/ac,AGRIGOLD,corn,PA,Berks,40.51278,-75.73138,5/8/14,10/23/14,262.3,bu/ac,False,SILTY CLAY LOAM,US,"Berks,PA,US"
51,210.3,bu/ac,CHANNEL,corn,IN,LaPorte,41.324998,-86.803416,5/7/13,10/9/13,210.5,bu/ac,False,SANDY LOAM,US,"LaPorte,IN,US"
53,193.2,bu/ac,CHAMPION,corn,WI,Grant,42.77804,-90.66307,5/9/14,10/28/14,179.7,bu/ac,False,SILT LOAM,US,"Grant,WI,US"
54,175.3,bu/ac,BECKS,corn,OH,Logan,40.441602,-83.830333,5/26/14,11/14/14,185.7,bu/ac,False,SANDY LOAM,US,"Logan,OH,US"
55,194.6,bu/ac,ANDERSON,corn,MN,Meeker,45.1012,-94.63892,5/24/14,10/26/14,189.2,bu/ac,False,CLAY LOAM,US,"Meeker,MN,US"
56,193.7,bu/ac,CHAMPION,corn,IA,Kossuth,42.98785,-94.200508,5/6/14,10/29/14,182.3,bu/ac,False,LOAM,US,"Kossuth,IA,US"
57,236.5,bu/ac,CHANNEL,corn,IL,DeKalb,41.843808,-88.887399,5/6/13,10/9/13,222.0,bu/ac,False,SILTY CLAY LOAM,US,"DeKalb,IL,US"
58,222.6,bu/ac,AGRIGOLD,corn,IL,DeKalb,41.843808,-88.887399,5/6/13,10/9/13,222.0,bu/ac,False,SILTY CLAY LOAM,US,"DeKalb,IL,US"
59,197.5,bu/ac,AGRIGOLD,corn,IL,DeKalb,41.843675,-88.887181,5/7/14,10/18/14,179.8,bu/ac,False,SILTY CLAY LOAM,US,"DeKalb,IL,US"
60,219.7,bu/ac,AGRIGOLD,corn,IA,Delaware,42.46862,-91.6267,5/7/14,10/18/14,178.1,bu/ac,False,LOAM,US,"Delaware,IA,US"
62,206.6,bu/ac,CHEMGRO,corn,VA,Hanover,37.68079,-77.17295,4/24/14,9/27/14,179.7,bu/ac,False,SANDY LOAM,US,"Hanover,VA,US"
63,281.0,bu/ac,AGRIGOLD,corn,IA,Jackson,42.035988,-90.261597,5/14/13,10/26/13,285.8,bu/ac,False,CLAY LOAM,US,"Jackson,IA,US"
64,176.2,bu/ac,AGRIGOLD,corn,NE,Seward,40.811723,-97.11871,5/14/13,11/5/13,173.9,bu/ac,False,SILT LOAM,US,"Seward,NE,US"
65,270.6,bu/ac,AGRIGOLD,corn,IL,Carroll,41.95904,-89.78867,5/7/13,10/21/13,257.7,bu/ac,False,SILT LOAM,US,"Carroll,IL,US"
66,201.2,bu/ac,CHANNEL,corn,IA,Webster,42.41296,-94.31549,5/13/13,10/29/13,198.2,bu/ac,False,LOAM,US,"Webster,IA,US"
67,223.5,bu/ac,CHAMPION,corn,IA,Webster,42.44663,-94.3399,4/26/14,10/27/14,218.0,bu/ac,False,LOAM,US,"Webster,IA,US"
69,219.5,bu/ac,AUGUSTA,corn,IA,Pottawattamie,41.28464,-95.55579,5/13/13,10/26/13,210.5,bu/ac,False,SILTY CLAY LOAM,US,"Pottawattamie,IA,US"
71,274.7,bu/ac,BECKS,corn,IA,Mahaska,41.25959,-92.67429,5/10/14,10/7/14,228.1,bu/ac,False,SILT LOAM,US,"Mahaska,IA,US"
72,252.4,bu/ac,AGRIGOLD,corn,WI,Adams,43.85142,-89.71227,5/24/13,10/29/13,226.5,bu/ac,True,SAND,US,"Adams,WI,US"
73,258.0,bu/ac,AGRIGOLD,corn,MO,Marion,39.86662,-91.52787,5/18/13,10/15/13,246.3,bu/ac,False,SILT LOAM,US,"Marion,MO,US"
74,194.6,bu/ac,CHAMPION,corn,IA,O'Brien,43.03058,-95.66184,5/20/13,11/4/13,198.3,bu/ac,False,SILTY CLAY LOAM,US,"O'Brien,IA,US"
75,171.4,bu/ac,BECKS,corn,IL,Ford,40.47322,-88.17151,5/13/13,10/2/13,167.5,bu/ac,False,,US,"Ford,IL,US"
76,219.3,bu/ac,AGRIGOLD,corn,IL,Ford,40.4733,-88.1839,5/5/14,10/7/14,197.8,bu/ac,False,SILTY CLAY LOAM,US,"Ford,IL,US"
78,255.4,bu/ac,AUGUSTA,corn,IN,Vermillion,40.094863,-87.482818,5/15/13,10/23/13,251.0,bu/ac,False,SILTY CLAY LOAM,US,"Vermillion,IN,US"
79,217.8,bu/ac,AUGUSTA,corn,VA,Accomack,37.63617,-75.82819,4/22/14,9/29/14,212.3,bu/ac,False,SANDY LOAM,US,"Accomack,VA,US"
80,250.5,bu/ac,AGRIGOLD,corn,IL,LaSalle,41.3621503,-89.0418249,5/7/13,9/27/13,248.2,bu/ac,False,SILTY CLAY LOAM,US,"LaSalle,IL,US"
81,263.4,bu/ac,CHANNEL,corn,MI,Lenawee,41.78826,-83.7679,5/10/13,10/26/13,238.7,bu/ac,False,LOAM,US,"Lenawee,MI,US"
82,245.7,bu/ac,CHEMGRO,corn,PA,Schuylkill,40.88815,-76.22758,5/7/14,11/12/14,239.1,bu/ac,False,SANDY CLAY LOAM,US,"Schuylkill,PA,US"
83,214.9,bu/ac,AGRIGOLD,corn,NE,Dodge,41.64119,-96.68946,5/15/13,10/24/13,220.2,bu/ac,True,SILTY CLAY,US,"Dodge,NE,US"
84,208.2,bu/ac,AGRIGOLD,corn,NE,Dodge,41.64119,-96.68946,5/15/13,10/24/13,220.2,bu/ac,True,SILTY CLAY,US,"Dodge,NE,US"
85,237.0,bu/ac,AGRIGOLD,corn,NE,Dodge,41.64119,-96.68946,5/15/13,10/24/13,220.2,bu/ac,True,SILTY CLAY,US,"Dodge,NE,US"
87,244.5,bu/ac,CHANNEL,corn,NE,Sarpy,41.040319,-96.146261,4/28/13,10/31/13,255.2,bu/ac,True,SILT LOAM,US,"Sarpy,NE,US"
88,229.0,bu/ac,AGRIGOLD,corn,WI,Sauk,43.17905,-90.04861,5/10/14,10/25/14,236.9,bu/ac,True,SANDY LOAM,US,"Sauk,WI,US"
89,231.6,bu/ac,AUGUSTA,corn,PA,York,40.149,-76.93975,5/7/12,10/13/12,209.9,bu/ac,False,SILTY CLAY LOAM,US,"York,PA,US"
90,262.7,bu/ac,AGRIGOLD,corn,MD,Queen Anne's,39.21781,-75.84219,5/9/14,10/8/14,242.9,bu/ac,True,SANDY LOAM,US,"Queen Anne's,MD,US"
91,249.9,bu/ac,AUGUSTA,corn,IL,McLean,40.5968,-88.82621,5/14/13,10/18/13,234.6,bu/ac,False,SILTY CLAY LOAM,US,"McLean,IL,US"
92,231.2,bu/ac,BECKS,corn,IL,Fayette,38.9483,-89.1494,5/10/14,11/14/14,220.6,bu/ac,False,SILTY CLAY LOAM,US,"Fayette,IL,US"
93,194.2,bu/ac,BECKS,corn,IL,Macoupin,39.521956,-89.716469,6/7/13,10/23/13,190.6,bu/ac,False,SILT LOAM,US,"Macoupin,IL,US"
